Cote,Titre,Auteur,Editeur,Lieu,Annee,Nb pages,Matière,Inventaire
37_297_/01bis,L'enseignement en Islamet en occident au moyen âge = medieval education in Islamand the west (communications présentées pendant la session des 25 - 28 oct. 1976,  ,Geuthner,Paris,1977,318,Histoire de l'éducation: moyen âge - islam,FSR_15084
37_44_/01,Réflexions sur l'enseignement,  ,Flammarion,Paris,1993,238,Education : éducation en France,FSR_25148
37_64_/01,Crise de l'enseignement et reproduction sociale au Maroc,SALMI Jamil,Maghrébines,Casablanca,1985,223,Enseignement au Maroc,FSR_15732
37_64_/02,Arabisation et langue française au Maghreb : un aspect sociolinguistique des dilemmes du développement,MOATASSIME Ahmed,Puf,Paris,1992,176,Education - arabisation - Maghreb,FSR_25055
37_64_/03,Le problème de la réforme dans le système éducatif marocain,MERROUNI Mekki,Okad,Rabat,1993,180,Education : système éducatif au Maroc,FSR_25048
37_672.4_/01,L'enseignement en Afrique : cas du Congo,NDINGA Oba  Antoine,Présence Africaine,Dakar,1989,488,Enseignement en Afrique: Congo,FSR_21752
374.7/02,Dzuxieme conference mondiale sur l'education des adultes,UNESCO (ed),Unesco,Paris,1963,51,Education des adultes,FSR_289
37.012_44_/16,L'évolution pédagogique en France,DURKHEIM Emile,Puf,Paris,1969,403,Education,FSR_15629
37.012/03,"Recherche pédagogique dans cinq pays socialistes européens une enquête 1970 - 1972: Bulgarie, Hongrie, Pologne, Roumanie, Yougoslavie",UNESCO,Unesco,Hambourg,1973,198,Education: rapport de recherche,FSR_5686
37.012/05,Introduction à la recherche en éducation,DE Landsheere gilbert,G. Thone,Liège,1976,403,Education: méthodes de recherches,FSR_7652
37.012/06,Définir les objectifs de l'éducation,LANDSHEERE Viviane DE. LANDSHEERE Gilbert DE,G. Thone,Liège,1976,293,Education : objectifs de l'éducation,FSR_6343
37.012/07,Recherche en éducation en Europe : première conférence pan-européenne pour les directeurs d'instituts nationaux de recherche Europe,CARELLI Dino (éd),Unesco,Hambourg,1977,158,Education: recherches éducatives - Europe,FSR_5590
37.012/08,L'évaluation en éducation et la prise de décision,  ,N.h.p,Canada,1980,464,Education: évaluation - prise de décision,FSR_7651
37.012/09,Pluralisme et innovation dans l'enseignement: l'exemple américain,WALBERG Herbert,Nouveaux Horizons,Paris,1982,234,Education: système éducatif américain,FSR_10756
37.012/10,Pluralisme et innovation dans l'enseignement : l'exemple américain,WALBERG Herbert,Nouveaux Horizons,Paris,1982,235,Education: système éducatif américain,FSR_11937
37.012/11,Pluralisme et innovation dans l'enseignement: l'exemple américain,WALBERG Herbert,Nouveaux Horizons,Paris,1982,235,Education: système éducatif américain,FSR_11936
37.012/12,Recherche en éducation et en socialisation de l'enfant: rapport de mission au ministre de l'industrie et de la recherche,CARRAZ Roland (s/s. dir),Documentation française,Paris,1983,423,Education: rapport des recherches,FSR_13461
37.012/13,L'éduquer: l'adulte devant le développement affectif de l'enfant,HAYEZ Jean-Yves,Privat,Toulouse,1982,235,Psychopédagogie: le développement affectif de l'enfant,FSR_11010
37.012/14,Pédagogie et éducation : évolution des idées et des pratiques contemporaines,SALINES Michel,Mouton,Paris,1972,480,Education,FSR_14343
37.012/15,La recherche en éducation dans le monde,DE LANDSHEERE Gilbert,Puf,Paris,1986,400,Education: recherche en éducation,FSR_16326
37.012/17,Analyse et régulation des systèmes éducatifs : un cadre conceptuel,D'HAINAUT Louis,Labor,Belgique,1981,144,Educatives: anlyse d'une système d'éducation,FSR_16379
37.012/18,Observer les situations éducatives,POSTIC Marcel. KETELE Jean-Marie DE,Puf,Paris,1988,320,Education: méthodes de recherches: observation,FSR_18833
37.013/01,La philosophie de l'éducation,REBOUL Olivier,Puf,Paris,1976,135,Philosophie de l'éducation,FSR_6345
37.013/02,Philosophie de l'éducation. t1 : pédagogie générale,LEIF Joseph. RUSTIN G,Delagrave,Paris,1979,380,Philosophie de l'éducation,FSR_7658
37.013/03,Philosophie de l'éducation. t2 : inspirations et tendances nouvelles,LEIF Joseph,Delagrave,Paris,1967,124,Philosophie de l'éducation,FSR_7659
37.013/04,Philosophie de l'éducation. t3 : les doctrines pédagogiques par les textes,LEIF Joseph. BIANCHERI A,Delagrave,Paris,1978,336,Philosophie de l'éducation,FSR_7660
37.013/05,Philosophie de l'éducation. t4 : vocabulaire technique et critique de la pédagogie et des sciences de l'éducation,LEIF Joseph,Delagrave,Paris,1974,313,Philosophie de l'éducation,FSR_7661
37.013/06,Les grands pédagogues,CHATEAU Jean (s/s. dir),Puf,Paris,1980,375,Histoire de l'éducation: pédagogues,FSR_9434
37.013/07,Education et politique,CAPELLE Jean,Puf,Paris,1974,263,Education: politique de l'éducation,FSR_10390
37.013/08,Qu'est ce que la rénovation pédagogique? ,LEIF Joseph,Nathan,Nancy,1978,176,Education,FSR_10387
37.013/09,La relation au sein des APS,  ,Vigot,Paris,1983,232,Education physique et sportive: relation entraîneur - entraîné,FSR_16973
37.014_71_/01,Le financement du développement éducationnel: compte rendu du séminaire tenu au mont Sainte-Marie (Canada) du 19 au 21 mai 1982,  ,Crdi,Ottawa,1983,164,Education: économie de l'éducation et développement,FSR_12690
37.014.22/01,Alphabétisation et développement : le rôle de l'alphabétisation fonctionnelle dans le développement économique et la modernisation,MEISTER Albert,Anthropos,Paris,1973,274,Education: alphabétisation et développement économique,FSR_1100
37.014.22/02,L'évaluation des programmes d'alphabétisation : guide pratique,COUVERT Roger,Unesco,Paris,1979,173,Education analphabétisme - évaluation du programme,FSR_5603
37.014.22/04,Alphabétisation 1972-1976: progrès de l'alphabétisation dans les divers continents,UNESCO,Unesco,Paris,1979,83,Education: analphabétisme,FSR_7492
37.014.22/05,Programme expérimental mondial d'alphabétisation: évaluation critique. un rapport conjoint de l'Unesco et du programme des Nations-Unie,UNESCO,Unesco,Paris,1900,231,Education: analphabétisme,FSR_7481
37.014.22/06,L'enseignement classique : au XVIIIè siècle collèges et universités,COSTABEL Pierre,Hermann,Paris,1986,168,Histoire de l'éducation,FSR_16298
37.014.2/01,La joie à l'école,SNYDERS Georges,Puf,Paris,1986,329,Education,FSR_16933
37.014.3/01,Initiatives en éducation une esquisse à l'échelle mondiale 1971-1972,BIE,Unesco,Paris,1973,130,Education,FSR_183
37.014.3/02,Liberté pour apprendre? ,ROGERS Carl,Bordas,Paris,1969,366,Education,FSR_7232
37.014.3/02bis,Liberté pour apprendre? ,ROGERS Carl,Bordas,Paris,1984,366,Education,FSR_15575
37.014.3/03,La réforme de l'éducation au Pérou,BIZOT Judithe,Unesco,Paris,1976,69,Education au Pérou,FSR_7396
37.014.3/04,Le bureau international d'éducation au service du mouvement éducatif,  ,Unesco,Paris,1979,153,Education: bureau international d'éducation,FSR_2572
37.014.3/04bis,Le bureau international d'éducation au service du mouvement éducatif,  ,Unesco,Paris,1979,156,Education: bureau international d'éducation,FSR_12176
37.014.3/05,Une société sans école,ILLITCH Ivan,Seuil,Paris,1971,223,Education,FSR_1630
37.014.3/06,A l'avant-garde de la réforme de l'éducation : l'institut pédagogique atlantique,ANDERSON Gary J. LAUWERYS Joseph A,Unesco,Paris,1978,52,Education : la formation des enseignants - Canada,FSR_7399
37.014.3/07,L'éducation nouvelle,MEDICI Angela,Puf,Paris,1977,125,Education: éducation nouvelle,FSR_1507
37.014.3/08,Comment s'opèrent les changements en éducation : contribution à l'étude de l'innovation,HUBERMAN A.M,Unesco,Paris,1973,111,Education: changement et innovation en éducation,FSR_211
37.014.3/09,Réformes et innovations éducatives en Afrique,  ,Unesco,Paris,1977,77,Education en Afrique: réformes et innovations,FSR_5593
37.014.3/11,La réforme de l'éducation en Espagne et l'éducation permanente,DIEZ HOCHLEITNER Ricardo. TENA ARTIGAS J. GARCIA CUERPO M,Unesco,Paris,1978,102,Education en Espagne: éducation permanente,FSR_12111
37.014.3/12,Une nouvelle approche de l'éducation de base: radio Santa  Maria,WHITE Robert,Unesco,Paris,1977,128,Education permanente: radio Santa Maria,FSR_12110
37.014.3/13,Réformes et innovations éducatives en Afrique,  ,Unesco,Paris,1977,77,Education en Afrique: réformes et innovations,FSR_12112
37.014.3/13bis,Réformes et innovations éducatives en Afrique,  ,Unesco,Paris,1977,78,Education en Afrique : réformes et innovations,FSR_946
37.014.3/14,A l'avant-garde de la réforme de l'éducation : l'institut pédagogique atlantique,ANDERSON Gary J. LAUWERYS Joseph,Unesco,Paris,1978,50,Réformes scolaires,FSR_12114
37.014.3/15,Une expérience de ruralisation de l'enseignement : l'IPAR et la réforme camerounaise,LALLEZ Raymond,Unesco,Paris,1974,112,Education: enseignement rural - Cameroun,FSR_12106
37.014.3/16,La réforme de l'éducation,BOISSET Jean (s/s.dir),Privat,Toulouse,1974,192,Education: réforme scolaire,FSR_14451
37.014.3/17,Nouvelle éducation et réforme de l'enseignement: sources et perspectives,BLOCH Marc-André,Puf,Paris,1978,224,Education: réforme scolaire,FSR_17479
37.014.53/01,Problèmes actuels de la démocratisation des enseignements secondaire et supérieur,  ,Unesco,Paris,1973,250,Education: démocratisation de l'enseignement,FSR_187
37.014.53/02,Pour une politique démocratique de l'éducation,LEGRAND Louis,Puf,Paris,1977,293,Politique de l'éducation selon des point,FSR_8640
37.014.53/03,Pédagogie des opprimés suivi de conscientisation et révolution,FREIRE Paulo,Maspero,Paris,1982,208,Education: alphabétisation,FSR_9632
37.014.53/04,Le contexte social de la planification de l'éducation,ANDERSON C. A,Unesco,Paris,1968,41,Planification de l'éducation,FSR_12116
37.014.53/05,La recherche-action dans l'institution éducative,BARBIER René,G.Villars,Paris,1977,215,Education: la recherche - action institutionnelle selon des points,FSR_11116
37.014.53/05bis,La recherche - action dans l'institution éducative,BARBIER René,Bordas,Paris,1977,228,Education: la recherche - action institutionnelle selon des points,FSR_23893
37.014.542/01,Disparités régionales dans le développement de l'éducation : diagnostic et politiques de réduction,CARRON Gabriel. CHAU Ta Ngoc,Unesco,Paris,1981,534,Planification de l'éducation: disparités régionales,FSR_14634
37.014.54/01,Les facteurs de coûts dans la planification des systèmes de technologies éducatives,JAMISON Deant t,Unesco,Paris,1978,71,Planification de l'éducation,FSR_5604
37.014.54/02,Les aspects financiers de l'éducation en Côte-d'Ivoire,HALLAK Jacques. POIGNANT Raymond,Unesco,Paris,1966,47,Planification de l'éducation selon : étude monographique - Côte-d',FSR_213
37.014.54/03,Les aspects financiers de l'enseignement dans les pays africains d'expression française,HALLAK Jacques. POIGNANT Raymond,Unesco,Paris,1966,79,Planification de l'éducation : financement de l'éducation en Afriq,FSR_212
37.014.54/04,Développement économique et aspects financiers de la politique d'éducation en Tunisie,TIBI Claude,Unesco,Paris,1974,215,Politique et financement de l'éducation: Tunisie,FSR_5702
37.014.54/05,Politique éducative et financement de l'éducation au Maroc,TIBI Claude,Unesco,Paris,1976,279,Politique et financement de l'éducation : Maroc politique de l'édu,FSR_650
37.014.54/06,Les plans de développement de l'éducation et la planification économique et sociale,POIGNANT R,Unesco,Paris,1967,59,Planification de l'éducation selon des points,FSR_251
37.014.54/10,L'industrie de l'enseignement,THANH Khoi Le,Minuit,Paris,1967,419,Economie de l'éducation,FSR_7143
37.014.54/11,Développement économique et aspects financiers de la politique d'éducation en Tunisie,TIBI Claude,Unesco,Paris,1974,215,Politique et financement de l'éducation: Tunisie,FSR_7471
37.014.54/12,Les facteurs de coûts dans la planification des systèmes de technologies éducatives,JAMISON Dean,Unesco,Paris,1978,71,Planification de l'éducation,FSR_7457
37.014.55/01,L'état enseignant,GRUSON Pascale,Mouton,Paris,1978,352,Politique de l'éducation,FSR_6734
37.014.5/07,Planification de l'éducation: thèmes principaux de recherche,IIPE,Unesco,Paris,1975,59,Planification de l'éducation,FSR_219
37.014.5/09,L'évolution des besoins de formation dans le domaine de l'administration et la planification de l'éducation,TIBI Claude,Unesco,Paris,1977,80,Planification de l'éducation,FSR_645
37.014.5/10,Les besoins de main-d'oeuvre et la planification de l'éducation: aperçu des problèmes à prévoire,IIPE,Unesco,Paris,1970,260,Planification de l'éducation,FSR_649
37.014.5/11,Aspects administratifs de la planification de l'éducation: un séminaire de l'IIPE,IIPE,Unesco,Paris,1970,232,Planification de l'éducation,FSR_647
37.014.5/12,L'évaluation des systèmes éducatifs : un séminaire de l'IIPE,IIPE,Unesco,Paris,1972,169,Planification de l'éducation: évaluation des systèmes éducatif,FSR_646
37.014.5/18,Croissance démographique et coûts de l'enseignement dans les pays en voie de développement,NGOC Chau Ta,Unesco,Paris,1972,323,Economie de l'éducation: croissance démographique,FSR_653
37.014.5/19,Croissance démographique et coûts de l'enseignement dans les pays en voie de développement,NGOC Chau Ta,Unesco,Paris,1972,323,Economie de l'éducation: croissance démographique,FSR_393
37.014.5/20,Planification de l'éducation : vers une perspective qualitative,ADAMS Raymond  (éd),Unesco,Paris,1978,123,Planification de l'éducation,FSR_654
37.014.5/21,Les aspects qualitatifs de la planification de l'éducation,BEEBY C.E,Unesco,Paris,1970,327,Planification de l'éducation,FSR_215
37.014.5/22,La planification de l'éducation en relation avec le développement rural,COVERDALE G. M,Unesco,Paris,1974,42,Planification de l'éducation: développement rural,FSR_266
37.014.5/23,Planification de l'aide à l'éducation pour la deuxième décennie du développement,PHILLIPS H.m,Unesco,Paris,1974,91,Planification de l'éducation,FSR_5827
37.014.5/24,Les problèmes de l'enseignement en milieu rural,GRIFFITHS V. L,Unesco,Paris,1969,47,Planification de l'éducation: enseignement rural,FSR_256
37.014.5/25,L'administrateur de l'éducation face à la planification,BEEBY C.E,Unesco,Paris,1967,43,Planification de l'éducation,FSR_635
37.014.5/26,Le contexte social de la planification de l'éducation,ANDERSON C. A,Unesco,Paris,1968,43,Planification de l'éducation,FSR_254
37.014.5/27,L'identité professionnelle du planificateur de l'éducation,CURLE Adam,Unesco,Paris,1970,63,Planification de l'éducation,FSR_259
37.014.5/28,Le rôle du conseiller en planification de l'enseignement,CURLE Adam,Unesco,Paris,1969,31,Planification de l'éducation,FSR_257
37.014.5/29,Planification de l'éducation: les conditions de réussite,RUSCOE G. C,Unesco,Paris,1970,53,Planification de l'éducation,FSR_260
37.014.5/30,La planification de l'éducation : options et décisions,MONTGOMERY John,Unesco,Paris,1977,75,Planification de l'éducation,FSR_267
37.014.5/31,Pour une conception réaliste de la planification de l'éducation,MCKINNON K,Unesco,Paris,1974,57,Planification de l'éducation,FSR_265
37.014.5/33,Planification de l'éducation pour une société pluraliste,HON-CHAN Chai,Unesco,Paris,1971,79,Planification de l'éducation,FSR_263
37.014.5/34,Qu'est-ce que la planification de l'éducation? ,COOMBS Philip,Unesco,Paris,1970,71,Planification de l'éducation,FSR_250
37.014.5/35,La planification de l'enseignement : évaluation des coûts,VAIZEY J. CHESSWAS J.D,Unesco,Paris,1968,67,Planification de l'éducation,FSR_391
37.014.5/36,L'analyse coût - bénéfice dans la planification de l'éducation,WOODHALL Maureen,Unesco,Paris,1970,59,Planification de l'éducation,FSR_397
37.014.5/37,L'analyse coût - bénéfice dans la planification de l'éducation,WOODHALL Maureen,Unesco,Paris,1970,59,Planification de l'éducation,FSR_261
37.014.5/38,L'analyse coût - bénéfice dans la planification de l'éducation,WOODHALL Maureen,Unesco,Paris,1970,59,Planification de l'éducation,FSR_392
37.014.5/39,Planification de l'éducation et chômage des jeunes,CALLAWAY Archibald,Unesco,Paris,1971,55,Planification de l'éducation,FSR_262
37.014.5/40,L'éducation et l'emploi : une étude critique,CARNOY Martin,Unesco,Paris,1977,107,Planification de l'éducation,FSR_636
37.014.5/41,Coûts et dépenses en éducation,HALLAK J,Unesco,Paris,1969,79,Planification de l'éducation,FSR_258
37.014.5/42,La planification de l'enseignement : évaluation des coûts,VAIZEY J,Unesco,Paris,1968,67,Planification de l'éducation,FSR_634
37.014.5/43,L'aide extérieure et la planification de l'éducation en Côte-d'Ivoire,CERYCH L,Unesco,Paris,1967,51,Planification de l'éducation: côte d'ivoire,FSR_5698
37.014.5/44,Les études à l'étranger et le développement de l'enseignement,CARTER William,Unesco,Paris,1974,59,Education: études et formation à l'étranger,FSR_192
37.014.5/45,Les études à l'étranger et le développement de l'enseignement,CARTER William,Unesco,Paris,1974,59,Education: études et formation à l'étranger,FSR_5668
37.014.5/46,Croissance démographique et coûts de l'enseignement dans les pays en voie de développement,NGOC Chau ta,Unesco,Paris,1972,23,Economie de l'éducation: croissance démographique,FSR_218
37.014.5/47,Planification de l'éducation : notes sur les besoins nouveaux en matière de recherche,PLATT William,Unesco,Paris,1970,79,Planification  de l'éducation,FSR_217
37.014.5/49,Problèmes actuels de la démocratisation des enseignements secondaire et supérieur,  ,Unesco,Paris,1973,250,Education: démocratisation de l'enseignement,FSR_7400
37.014.5/50,Planification de l'éducation en URSS,  ,Unesco,Paris,1967,339,Planification de l'éducation: URSS,FSR_221
37.014.5/51,Modèle de développement de l'éducation : perspectives pour l'Asie (1965-1980),UNESCO,Unesco,Paris,1967,136,Planification de l'éducation: développement de l'éducation en Asie,FSR_7499
37.014.5/52,La planification du programme scolaire,LEWY Arieh,Unesco,Paris,1978,19,Planification de l'éducation: programme scolaire,FSR_7456
37.014.5/54,La planification des programmes d'enseignement primaire dans les pays en voie de développement,HAWES H. W. R,Unesco,Paris,1972,55,Planification de l'éducation: programme de l'enseignement primaire,FSR_7455
37.014.5/55,"Méthode de préparation de la carte scolaire : études de cas Autriche, Basse-Saxe, République Fédérale d'Allemagne",  ,Unesco,Paris,1974,111,Planification de l'éducation: carte scolaire,FSR_7503
37.014.5/56,La planification intersectorielle dans l'enseignement,OCDE,Ocde,Paris,1977,363,Planification de l'éducation,FSR_8667
37.014.5/57,Planification et participation dans l'enseignement,OCDE,Ocde,Paris,1974,527,Planification de l'éducation,FSR_8668
37.014.5/58,Planification de l'éducation et développement des ressources humaines,HARBISON F,Unesco,Paris,1968,38,Planification de l'éducation,FSR_12115
37.014.5/59,La planification de l'éducation en relation avec le développement rural,COVERDALE G. M,Unesco,Paris,1974,41,Education: développement rural,FSR_12125
37.014.5/60,Planification de l'aide à l'éducation pour la deuxième décennie du développement,PHILLIPS H. M,Unesco,Paris,1974,87,Planification de l'éducation,FSR_12122
37.014.5/61,Planification de l'éducation pour une société pluraliste,HON-CHAN Chai,Unesco,Paris,1971,79,Planification de l'éducation,FSR_12121
37.014.5/62,Planification de l'éducation : les conditions de réussite,RUSCOE G. C,Unesco,Paris,1970,50,Planification de l'éducation,FSR_12120
37.014.5/63,Pour une conception réaliste de la planification de l'éducation,MCKINNO K. R,Unesco,Paris,1974,55,Planification de l'éducation,FSR_12124
37.014.5/64,L'identité professionnelle du planificateur de l'éducation,CURLE Adam,Unesco,Paris,1970,61,Planification de l'éducation,FSR_12119
37.014.5/65,Le planificateur et l'éducation permanente,FURTER Pierre,Unesco,Paris,1977,68,Planification de l'éducation,FSR_12127
37.014.5/66,La planification de l'enseignement : évaluation des coûts,VAIZEY J. CHESSWAS J.D,Unesco,Paris,1968,65,Planification de l'éducation,FSR_12117
37.014.5/67,Le rôle de conseiller en planification de l'enseignement,CURLE Adam,Unesco,Paris,1969,29,Planification de l'éducation,FSR_12118
37.014.5/68,La planification de l'éducation : options et décisions,MONTGOMERY John,Unesco,Paris,1977,70,Planification de l'éducation,FSR_12126
37.014.5/69,Planification de l'éducation et développement des ressources humaines,HARBISON F,Unesco,Paris,1971,40,Planification de l'éducation,FSR_252
37.014.5/70,L'expérience hongroise de l'ook: un instrument pour le développement de la technologie éducative,NAGY Jozsef,Unesco,Paris,1980,126,Education: centre national de technologie éducative hongrois ( ),FSR_12676
37.014.5/71,La crise mondiale de l'éducation,COOMBS Philip,De Boeck/Wesimael,Bruxelles,1989,378,Politique de l'éducation,FSR_21481
37.014.7/01,Production de l'école - production de la société: analyse socio-historique de quelques moments décisifs de l'évolution scolaire en occident,PETITAT André,Droz,Genève,1982,540,Sociologie de l'éducation: production - reproduction sociale,FSR_15375
37.014/05,"Méthode de préparation de la carte scolaire: Casablanca, le Gharb et Kenitra, Maroc",IIE,Unesco,Paris,1976,243,Planification de l'éducation: carte scolaire - Maroc -,FSR_655
37.014/06,La mise en place de politique éducatives: rôle et méthodologie de la carte scolaire: un rapport de recherche de l'institut international de planifecation de l'éducation,HALLAK Jacques,Unesco,Paris,1976,327,Politique de l'éducation,FSR_651
37.014/07,L'éducation pour la compréhension internationale : en tant que partie intégrante des programmes social,  ,Unesco,Paris,1968,260,Education comparée: études monographiques,FSR_5662
37.014/08,Apprendre et travailler,UNESCO,Unesco,Paris,1979,360,Education: enseignement et travail,FSR_2565
37.014/10,Les grands problèmes de l'éducation dans le monde: essai d'analyse et de synthèse,THOMAS Jean,Unesco,Paris,1975,172,Education,FSR_6344
37.014/11,Eduquer et instruire,DOTTRENS Robert,Unesco,Paris,1966,368,Education: guide pédagogique,FSR_5663
37.014/12,L'éducation d'aujourd'hui face au monde de demain,HUMMEL Charles,Unesco,Paris,1977,208,Politique de l'éducation: problèmes éducatifs majeurs,FSR_5582
37.014/13,Démocratie et éducation : introduction à la philosophie de l'éducation,DEWEY John,A. Colin,Paris,1975,426,Philosophie de l'éducation: les objectifs de l'éducation,FSR_7645
37.014/13bis,Démocratie et éducation,DEWEY John,A. Colin,Paris,1990,450,Philosophie de l'éducation : les objectifs de l'éducation,FSR_24079
37.014/14,L'école capitaliste en France,BAUDELOT Christian. ESTABLET Roger,Maspero,Paris,1971,346,Education : analyse des fonctionnement de l'école capitaliste,FSR_6077
37.014/15,Le droit à l'éducation: du principe aux réalisations 1948-1968,FRANCOIS Louis,Unesco,Paris,1968,100,Education: le droit à l'éducation,FSR_309
37.014/16,La mise en place de politique éducatives: rôle et méthodologie de la carte scolaire: un rapport de recherche de l'institut internationa,HALLAK Jacques,Unesco,Paris,1976,327,Politique de l'éducation,FSR_214
37.014/17,Population et l'enseignement: démographie et sciences humaines,INED,Unesco,Paris,1970,571,Education: enseignement et problèmes démographiques,FSR_7522
374.3/06,Jeunesse exploitee jeunesse perdue,THANH Khoi (lê),PUF,Paris,1978,227,Education de la jeunesse,FSR_5998
37.014/19,L'innovation éducative en Inde,NAIK Chitra,Unesco,Paris,1974,53,Education en inde: innovation éducative,FSR_5671
37.014/20,L'innovation éducative en Iran,AYMAN Iraj,Unesco,Paris,1974,35,Education en Iran: innovation éducative,FSR_5673
37.014/21,L'innovation éducative à Singapour,WONG Ruth h.k,Unesco,Paris,1974,97,Education en Singapour: innovation éducative,FSR_5674
37.014/22,L'innovation éducative en république de Corée,YUNG Dug Lee,Unesco,Paris,1975,49,Education en république de Corée: innovation éducative,FSR_5670
37.014/23,L'innovation éducative en Indonésie,  ,Unesco,Paris,1975,56,Education en Indonésie: innovation éducative,FSR_5672
37.014/24,Il est temps de passer à l'action: le rôle de l'homme dans le développement: réflexions complémentaires pour les années soixante-dix,ADISESHIAH Malcolm,Unesco,Paris,1972,203,Politique de l'éducation,FSR_5779
37.014/25,La question scolaire en France,LABRUSSE Roger,Puf,Paris,1900,128,Politique de l'éducation. France,FSR_1941
37.014/26,Les tendances de l'éducation en 1970 : une enquête internationale,Bureau International de l'Education,Unesco,Paris,1970,66,Politique de l'éducation,FSR_7478
37.014/27,Education since 1800,MORRISH Ivor,George Allen and unw,London,1970,244,Histoire de l'éducation,FSR_6640
37.014/28,Educational cooperation between developed and developing countries,PHILLIPS H. .M,Praeger Publishers,New York,1976,333,Politique de l'éducation: développement,FSR_6639
37.014/30,It is time to begin : the human role in development: some further reflections for the seventies,ADISESHIAH Malcolm,Unesco,Paris,1972,182,Politique de l'éducation,FSR_7463
37.014/31,Les politiques futures d'éducation et l'évolution économique et sociale,OCDE,Ocde,Paris,1979,184,Politique de l'éducation,FSR_8614
37.014/32,Pour une politique démographique de l'éducation,LEGRAND Louis,Puf,Paris,1977,293,Politique de l'éducation,FSR_11209
37.014/33,Les politiques futures d'éducation et l'évolution économique et sociale,OCDE,Ocde,Paris,1979,184,Politique de l'éducation,FSR_21503
37.015_091_/01,Histoire de la pédagogie du 17° siècle à nos jours,AVANZINI Guy (s/s dir),Privat,Paris,1981,395,Education: histoire de la pédagogie,FSR_7614
37.015_091_/02,Histoire des institutions et des doctrines pédagogiques par les textes,PALMERO J,Sudel,Paris,1958,455,Education: histoire de la pédagogie,FSR_7656
37.015_6_/15,L'enfant et son milieu en Afrique Noire : essais sur l'éducation traditionnelle,ERNY Pierre,Payot,Paris,1972,320,Education: ethnologie de l'éducation. l'éducation traditionnel en Afrique Noire,FSR_16033
37.015.3/01,Méthode d'observation psychopédagogique,LEFEVRE Lucien,Esf,Paris,1973,153,Psychopédagogique: observation,FSR_9409
37.015.3/02,Carrefours psychopédagogique,NATALIS Ernest,Ch. Dessert,Bruxelles,1970,272,Psychopédagogie,FSR_11643
37.015.3/03,La lecture et l'enfant,BETTELHEIM Bruno. ZELAN Karen,R. Laffont,Paris,1983,261,Psychopédagogie: apprentissage de la lecture,FSR_14765
37.015.3/04,Education impossible,MANNONI Maud,Seuil,Paris,1973,320,Psychologie pédagogique: antipsychiatre,FSR_14290
37.015.3/05,La situation des enfants dans le monde (1985),GRANT James,Aubier,Paris,1984,126,Education: situation des enfants dans le monde,FSR_16219
37.015.3/06,Psychopédagogie des débiles profonds: récit d'une expérience réalisée auprès de fillettes d'âge scolaire,ROUQUES Denise,Fleurus,Paris,1979,608,Psychopédagogie: éducation spéciale,FSR_11809
37.015.3/07t1,Psychologie et éducation. t1 : l'enfant,LEIF Joseph. DELAY Jean,Natham,Paris,1983,496,Education : psychologie,FSR_19083
37.015.3/07t2,Psychologie et éducation : tome 2 : l'adolescent,LEIF Joseph. DELAY Jean,Nathan,Paris,1983,606,Education : psychologie de l'adolescent,FSR_19084
37.015.3/07t3,Psychologie et éducation. t3 : l'examen psychologique de l'enfant et de l'adolescent,GUILLARME Jean-Jacques,Natham,Paris,1983,158,Education: psychologie,FSR_19085
37.015.3/07t4,Psychologie et éducation. t4 : texte de psychologie de l'enfant et de l'adolescent,LEIF Joseph. JUIF Paul,Natham,Paris,1983,514,Education : psychologie,FSR_19086
37.015.3/08,Psycholinguistique et pédagogie des langues,LANCHEC Jean-Yvon,Puf,Paris,1976,168,Psychopédagogie - psycholinguistique : pédagogie des langues,FSR_21679
37.015.3/09,La formation par l'apprentissage : éléments de psychopédagogie,LEPLAT Jacques. ENARD Claude. WEILL-FASSINA Anne,Puf,Paris,1970,200, Pychopédagogie : apprentissage,FSR_21977
37.015.3/10,La pédagogie psychanalytique : origine et histoire,MOLL Jeanne,Bordas,Paris,1989,216,Psychopédagogie : pédagogie psychanalytique,FSR_21620
37.015.4/01,Etudes sur la socialisation scolaire: groupe de recherches sur le procès de socialisation (E.A.R.631- université Lyon 2),CNRS,Cnrs,Paris,1974,136,Sociologie de l'éducation: socialisation scolaire,FSR_9352
37.015.4/02,Education et société en russie: dans le second tiers du 19è siècle,BESANÇON Alain,Mouton,Paris,1974,164,Sociologie de l'éducation: la russie au 19è siècle,FSR_14459
37.015.4/03,Les institutions socio-culturelles : les mots-clés,LABOURIE Raymond,Puf,Paris,1978,340,Sociologie de l'éducation: les institutions socio-culturelles,FSR_17539
37.015.4/04,L'école est-elle rentable ? ,ESTABLET Roger,Puf,Paris,1987,240,Sociologie de l'éducation,FSR_19077
37.015.4/04bis,L'école est-elle rentable ? ,ESTABLET Roger,Puf,Paris,1987,240,Sociologie de l'éducation,FSR_21675
37.015.4/06,"Ecole, communication, télévision",LAZAR Judith,Puf,Paris,1985,190,Sociologie de l'éducation : école - télévision,FSR_21978
37.015.6/01,Economique de l'éducation : travaux français,EICHER Jean-Claude. LEUY Louis,Economica,Paris,1979,378,Economie de l'éducation,FSR_2285
37.015.6/01bis,Economique de l'éducation: travaux français,EICHER Jean-Claude,Economica,Paris,1979,375,Economie de l'éducation,FSR_16497
37.015.6/02,L'économie de l'éducation,PAGE André,Puf,Paris,1971,272,Economie de l'éducation,FSR_7650
